Unnamed: 0,t,Ii,I_ss,V0_Vm,V_E,tms
12160,1.2159999999998825,-209.26177137702635,209.26177137702635,-150.0,-150.0,15.999999999882553
12161,1.2160999999998825,-206.76528030591965,206.76528030591965,-150.0,-150.0,16.09999999988254
12162,1.2161999999998825,-204.31771548672168,204.31771548672168,-150.0,-150.0,16.19999999988253
12163,1.2162999999998825,-201.9181553231071,201.9181553231071,-150.0,-150.0,16.29999999988252
12164,1.2163999999998825,-199.5656964212196,199.5656964212196,-150.0,-150.0,16.39999999988251
12165,1.2164999999998825,-197.2594521888136,197.2594521888136,-150.0,-150.0,16.499999999882498
12166,1.2165999999998824,-194.99855184496647,194.99855184496647,-150.0,-150.0,16.599999999882485
12167,1.2166999999998824,-192.78214219424947,192.78214219424947,-150.0,-150.0,16.699999999882476
12168,1.2167999999998824,-190.6093863210608,190.6093863210608,-150.0,-150.0,16.799999999882466
12169,1.2168999999998824,-188.4794614921494,188.4794614921494,-150.0,-150.0,16.899999999882453
12170,1.2169999999998824,-186.3915619294472,186.3915619294472,-150.0,-150.0,16.99999999988244
12171,1.2170999999998824,-184.34489680980323,184.34489680980323,-150.0,-150.0,17.09999999988243
12172,1.2171999999998824,-182.33868970373237,182.33868970373237,-150.0,-150.0,17.199999999882422
12173,1.2172999999998824,-180.372179502308,180.372179502308,-150.0,-150.0,17.29999999988241
12174,1.2173999999998824,-178.44461875423232,178.44461875423232,-150.0,-150.0,17.399999999882397
12175,1.2174999999998823,-176.55527468967418,176.55527468967418,-150.0,-150.0,17.499999999882387
12176,1.2175999999998823,-174.7034279314191,174.7034279314191,-150.0,-150.0,17.599999999882378
12177,1.2176999999998823,-172.88837280894904,172.88837280894904,-150.0,-150.0,17.699999999882365
12178,1.2177999999998823,-171.10941698370584,171.10941698370584,-150.0,-150.0,17.799999999882353
12179,1.2178999999998823,-169.36588093233738,169.36588093233738,-150.0,-150.0,17.899999999882343
12180,1.2179999999998825,-167.6570983126471,167.6570983126471,-150.0,-150.0,17.999999999882554
12181,1.2180999999998825,-165.98241482233004,165.98241482233004,-150.0,-150.0,18.09999999988254
12182,1.2181999999998825,-164.34118899600756,164.34118899600756,-150.0,-150.0,18.199999999882532
